id,gid,kecamatan,kelurahan,geom,nama,id_tps,alamat,thn_bangun,klasifikasi_struktur,klasifikasi_pengangkutan,tahun,status,kel_dilayani,kapasitas,vol_masuk,vol_dikelola,vol_diangkut,waktu_angkut,id_delivery,data_tahun,koordinat,lat,lon,utilisasi
,,Petemon,Petemon,0101000020ED7F000075E45F9ED2102541B466370AD08A6141,TPS Bukit Barisan,146,Jl.Bukit Barisan,,TPS,compactor,,aktif,"Kel.Petemon,Kel.Sawahan,",59.4,59.4,59.4,59.4,<1 hari,,2021," -7.2596637606383, 112.723483402662",-7.2596637606383,112.723483402662,100.0
48.0,43.0,Darmo,Darmo,0101000020ED7F0000DE2569D55E152541840475709E896141,TPS Kembang Kuning,148,Jl. Kembang Kuning,,TPS,compactor,,aktif,"Kel. Pakis, Kel. Dr. Soetomo, Kel. Darmo, Kel. Putat Jaya, Kel. Sawahan",42.0,42.0,42.0,42.0,<1 hari,,2021,"-7.28174894553305,112.728838801391",-7.28174894553305,112.728838801391,100.0
,,Wonokromo,Wonokromo,0101000020ED7F00002A74635FAB19254193AC83782F886141,TPS Jetis Kulon,156,Jl.Jetis Kulon,,TPS,compactor,,aktif,Kel.Wonokromo,14.0,14.0,14.0,14.0,<1 hari,,2021," -7.3082739804763, 112.733923767723",-7.3082739804763,112.733923767723,100.0
50.0,45.0,Tenggilis Utara,Tenggilis Utara,0101000020ED7F000012141ECC1C2B254138CB7625A4876141,TPS Tenggilis Utara,137,Jl. Tenggilis Utara,,TPS,armroll,,aktif,Kel. Tenggilis Utara,28.0,28.0,28.0,28.0,<1 hari,,2021,"-7.3182734859457,112.754181749803",-7.3182734859457,112.754181749803,100.0
,,Penjaringansari,Penjaringansari,0101000020ED7F00008B8B3B21E1442541C6DB2E3170876141,TPS Penjaringan Sari,128,Jl.Pandugo,,TPS,compactor,,aktif,"Kel.Kedung Baruk,Kel.Penjaringan Sari",28.0,28.0,28.0,28.0,<1 hari,,2021," -7.32191408339703, 112.784063943689",-7.32191408339703,112.784063943689,100.0
52.0,47.0,Rungkut Kidul,Rungkut Kidul,0101000020ED7F0000666C0ED2D64125416D5ECFAA24876141,TPS Rungkut Asri Merr,131,Jl. Rungkut asri,,TPS,compactor,,aktif,Kel. Kali Rungkut,14.0,14.0,14.0,14.0,<1 hari,,2021,"-7.32739086780046,112.780561551098",-7.32739086780046,112.780561551098,100.0
,,Wonorejo,Wonorejo,0101000020ED7F0000127E1EAA794A2541E6BFF1AFF6876141,TPS Wonorejo,130,Jl.Raya Wonorejo,,TPS,compactor,,aktif,Kel.Wonorejo,26.4,26.4,26.4,26.4,<1 hari,,2021," -7.31216013851399, 112.790511453934",-7.31216013851399,112.790511453934,100.0
54.0,49.0,Kalirungkut,Kalirungkut,0101000020ED7F0000651A69BB7A3A254166AABA1F67876141,TPS Rungkut Alang-Alang,125,Jl. Kali Rungkut,,,compactor,,aktif,Kel. Kalirungkut,14.0,14.0,14.0,14.0,<1 hari,,2021,"-7.32261761878455,112.772011533616",-7.32261761878455,112.772011533616,100.0
,,Semolowaru,Semolowaru,0101000020ED7F00004EB68693B3422541963963AE91886141,TPS Semolowaru,120,Jl.Semolowaru,,TPS,armroll,,aktif,"Kel.Semolowaru,Kel.Medokan Semampir",14.0,14.0,14.0,14.0,<1 hari,,2021," -7.30098489318678, 112.781456406042",-7.30098489318678,112.781456406042,100.0
56.0,51.0,Klampis Ngasem,Klampis Ngasem,0101000020ED7F0000E8976F57433E254115D31BCA64896141,TPS Klampis Ngasem,119,Jl. Klampis Ngasem,,TPS,compactor,,aktif,"Kel. Klampis Ngasem, Kel. Manyar Sabrangan",14.0,14.0,14.0,14.0,<1 hari,,2021,"-7.28573532520526,112.776251712674",-7.28573532520526,112.776251712674,100.0
,,Keputih,Keputih,0101000020ED7F00009AAFF52FB14925417ED473F424896141,TPS ITS,116,Jl.Arif Rahman Hakim,,TPS,compactor,,aktif,"Kel.Keputih,Kel.Gebang Putih",14.0,14.0,14.0,14.0,<1 hari,,2021," -7.29030035077105, 112.789516798551",-7.29030035077105,112.789516798551,100.0
